ID,Name,Category,Description,Memory,Human Review,Messages,Events,Triggers,Connectors,Flows,Adoption Qs,Hardcoded Slack,Evaluation,Rating
engineering-workflow-orchestrator,Engineering Workflow Orchestrator,development,Syncs Linear issues with GitHub,No,No,Yes,Yes,"polling, schedule",3,3,Yes,Yes,No memory or review. Sync pipeline. Hardcodes Slack.,5
feature-flag-experiment-analyst,Feature Flag Experiment Analyst,development,Monitors PostHog feature flags with significance analysis,No,No,Yes,Yes,"schedule, polling",3,3,Yes,Yes,No memory or review. Good analytical concept. Should learn which experiments matter. Hardcodes Slack.,5
feature-flag-governance-use-case,Feature Flag Governance,development,Monitors LaunchDarkly flags with cleanup tickets,No,No,Yes,Yes,"webhook, schedule, manual",4,3,Yes,Yes,No memory or review. Includes manual trigger. Hardcodes Slack.,4
real-time-database-watcher,Real-Time Database Watcher,development,Watches Supabase database changes via webhooks,Yes,No,Yes,Yes,"webhook, schedule",3,3,Yes,Yes,Has memory but no review. Good event-driven template. Hardcodes Slack.,6
search-quality-monitor,Search Quality Monitor,development,Monitors Algolia search analytics for optimization opportunities,No,No,Yes,Yes,schedule,3,3,Yes,Yes,No memory or review. Should learn which queries get fixed. Hardcodes Slack.,5
sprint-automation-use-case,Sprint Automation,development,Creates GitHub issues from ClickUp sprint backlog,No,No,Yes,Yes,"schedule, polling",3,3,Yes,No,No memory or review. Clean automation. No hardcoded Slack which is good.,6
sprint-documentation-use-case,Sprint Documentation,development,Generates Confluence sprint review pages from Jira,No,No,Yes,Yes,"schedule, manual",3,3,Yes,Yes,No memory or review. Includes manual trigger. Hardcodes Slack.,4
user-lifecycle-manager,User Lifecycle Manager,development,Handles Clerk auth events and provisions Supabase users,No,No,Yes,Yes,"webhook, schedule",4,3,Yes,Yes,No memory or review. System integration template. Hardcodes Slack.,5
app-performance-guardian,App Performance Guardian,devops,Monitors Firebase Crashlytics for crash spikes and ANRs,Yes,Yes,Yes,Yes,"polling, schedule",4,3,Yes,Yes,Has memory and review. Strong devops template. Hardcodes Slack. Near gold standard if messaging was generic.,7
database-health-sentinel,Database Health Sentinel,devops,Monitors Postgres health and sends DBA reports,Yes,Yes,Yes,Yes,"polling, schedule",3,3,Yes,Yes,Has memory and review. Good concept. Hardcodes Slack.,7
deployment-guardian,Deployment Guardian,devops,Monitors Vercel deployments with GitHub cross-referencing,Yes,Yes,Yes,Yes,"webhook, polling",3,3,Yes,Yes,Has memory and review. Good dimensions. Hardcodes Slack.,7
error-response-coordinator,Error Response Coordinator,devops,Receives Sentry errors and creates GitHub issues,Yes,Yes,Yes,Yes,"webhook, schedule",3,3,Yes,Yes,Has memory and review. Very similar to our planned Sentry template. Hardcodes Slack. Missing review->memory pattern and Jira-format reports.,6
incident-commander,Incident Commander,devops,Ingests Datadog alerts with PagerDuty incident creation,Yes,Yes,Yes,Yes,"webhook, schedule",3,3,Yes,Yes,Reference-quality template. Has all dimensions. Hardcodes Slack. Needs generic messaging to be perfect.,8
incident-logger,Incident Logger,devops,Logs system incidents with severity tracking,Yes,No,Yes,Yes,manual,0,2,No,No,Lightweight. No connectors or adoption questions. Only manual trigger. Needs enrichment.,3
infrastructure-health-use-case,Infrastructure Health,devops,Monitors CloudWatch metrics with Jira ops tickets,Yes,Yes,Yes,Yes,"polling, schedule",3,3,Yes,Yes,Has all dimensions. Good structure. Hardcodes Slack.,7
service-health-reporter,Service Health Reporter,devops,Compiles daily service health metrics into reports,Yes,No,Yes,Yes,manual,0,1,No,No,Very lightweight. No connectors. Only manual trigger. 1 flow. Needs significant enrichment.,3
sre-runbook-executor,SRE Runbook Executor,devops,Matches Prometheus alerts against Notion runbooks,No,Yes,Yes,Yes,webhook,3,3,Yes,Yes,Has review but no memory. Should learn which runbooks work for which alerts. Hardcodes Slack.,6
status-page-manager,Status Page Manager,devops,Updates Notion status page from Uptime Robot alerts,No,Yes,Yes,Yes,"webhook, schedule",4,3,Yes,Yes,Has review but no memory. Good multi-service orchestration. Hardcodes Slack.,6
telegram-ops-command-center,Telegram Ops Command Center,devops,AI-powered operational control via Telegram commands,Yes,Yes,Yes,Yes,"webhook, schedule",3,3,Yes,Yes,Has all dimensions. Unique Telegram-first design. Still hardcodes Slack for critical alerts.,7
workflow-error-intelligence,Workflow Error Intelligence,devops,Meta-agent that monitors other persona executions for errors,Yes,Yes,Yes,Yes,"event, polling, schedule",1,3,Yes,Yes,Has all dimensions. Unique meta-monitoring concept. Hardcodes Slack. Great candidate for review->memory pattern.,7
email-deliverability-monitor,Email Deliverability Monitor,email,Processes SendGrid webhooks and tracks deliverability,No,Yes,Yes,Yes,"webhook, schedule",3,3,Yes,Yes,Has review but no memory. Should learn which domains cause issues. Hardcodes Slack.,6
intake-processor,Intake Processor,email,Routes important Gmail emails to Slack and Notion,No,Yes,Yes,Yes,polling,3,3,Yes,Yes,Has review but no memory. Basic email routing. Hardcodes Slack.,5
accounting-reconciliation-use-case,Accounting Reconciliation,finance,Reconciles Xero transactions against bank feeds,Yes,Yes,Yes,Yes,schedule,4,3,Yes,Yes,Has all dimensions. Strong finance template. Hardcodes Slack.,7
budget-spending-monitor,Budget Spending Monitor,finance,Tracks spending against budget with threshold alerts,Yes,No,Yes,Yes,polling,0,2,No,No,Has memory but lightweight. No connectors or adoption questions.,4
expense-receipt-processor,Expense Receipt Processor,finance,AI extracts vendor/amount from Gmail receipt attachments,Yes,Yes,Yes,Yes,"polling, schedule",3,3,Yes,Yes,Has all dimensions. Good concept. Hardcodes Slack.,7
expense-receipt-tracker,Expense Receipt Tracker,finance,Processes Gmail receipts into spending database,Yes,Yes,Yes,Yes,polling,0,2,No,Yes,Has memory and review but 0 connectors and no adoption questions. Partially hardcodes Slack. Lightweight.,4
finance-controller,Finance Controller,finance,Syncs QuickBooks to Sheets with overdue invoice reminders,Yes,Yes,Yes,Yes,"schedule, polling",4,3,Yes,Yes,Has all dimensions. Strong template. Hardcodes Slack.,7
financial-stocks-signaller,Financial Stocks Signaller,finance,Weekly stock analysis with RSI/MACD signals and learning loop,Yes,Yes,Yes,Yes,schedule,1,3,Yes,No,Our gold standard. Generic messaging. Review->memory learning loop. All dimensions. No hardcoded services.,10
freelancer-invoice-autopilot,Freelancer Invoice Autopilot,finance,Auto-generates invoices from time tracking with payment follow-up,Yes,Yes,Yes,Yes,"polling, schedule",5,3,Yes,Yes,Has all dimensions. Most connectors (5). Hardcodes Slack.,7
invoice-tracker,Invoice Tracker,finance,Processes Gmail for invoices with payment status monitoring,Yes,Yes,Yes,Yes,polling,0,2,No,No,Has memory and review but 0 connectors and no adoption questions. Lightweight.,4
personal-finance-use-case,Personal Finance,finance,Plaid bank integration with spending categorization,Yes,Yes,Yes,Yes,schedule,4,3,Yes,Yes,Has all dimensions. Good concept. Hardcodes Slack.,7
revenue-intelligence-copilot,Revenue Intelligence Copilot,finance,Stripe + HubSpot AI churn prediction and account health,Yes,Yes,Yes,Yes,"polling, schedule",4,3,Yes,Yes,Has all dimensions. Advanced analytical template. Hardcodes Slack.,8
revenue-operations-hub,Revenue Operations Hub,finance,Processes Stripe webhooks with revenue tracking,Yes,Yes,Yes,Yes,"webhook, schedule",3,3,Yes,No,Has all dimensions. No hardcoded Slack. Good template.,8
subscription-billing-use-case,Subscription Billing,finance,Processes Paddle subscription events with dunning,Yes,Yes,Yes,Yes,"webhook, schedule",4,3,Yes,Yes,Has all dimensions. Hardcodes Slack.,7
ai-resume-screener,AI Resume Screener,hr,Screens resumes and scores fit against job requirements,No,Yes,Yes,No,polling,0,0,No,No,Has review but no memory/events/flows/connectors/adoption. Very incomplete template.,2
onboarding-tracker,Onboarding Tracker,hr,Creates Notion onboarding checklists for new hires,Yes,Yes,Yes,Yes,manual,0,2,No,No,Has memory and review but 0 connectors. Only manual trigger. Lightweight.,4
recruiting-pipeline-use-case,Recruiting Pipeline,hr,Monitors Greenhouse with personalized stage emails,Yes,Yes,Yes,Yes,"polling, schedule",3,2,No,Yes,Has memory and review. Hardcodes Slack. Missing adoption questions.,6
ai-contract-reviewer,AI Contract Reviewer,legal,AI extracts key terms and risk factors from contracts,Yes,Yes,Yes,Yes,"polling, webhook, schedule",3,0,No,Yes,Has all dimensions but 0 flows and no adoption questions. Hardcodes Slack.,5
contract-lifecycle-use-case,Contract Lifecycle,legal,Tracks DocuSign envelopes with Airtable and reminders,Yes,Yes,Yes,Yes,"webhook, schedule",4,0,No,Yes,Has all dimensions but 0 flows. Hardcodes Slack.,5
editorial-calendar-manager,Editorial Calendar Manager,legal,Syncs Notion editorial calendar with Airtable tracking,Yes,No,Yes,No,"schedule, polling",3,0,No,No,Miscategorized as legal (should be content). No review or events. 0 flows.,3
ad-campaign-optimizer,Ad Campaign Optimizer,marketing,Optimizes Google Ads with automated recommendations,Yes,Yes,Yes,No,schedule,4,0,No,No,Has memory and review but 0 flows and no events.,5
campaign-performance-analyst,Campaign Performance Analyst,marketing,Analyzes Mailchimp campaign performance against benchmarks,Yes,No,Yes,No,schedule,3,0,No,No,Has memory but no review/events/flows.,4
community-engagement-scorer,Community Engagement Scorer,marketing,Tracks community member engagement across Discord/Slack,Yes,No,Yes,Yes,"polling, schedule",2,0,No,No,Has memory and events but no review or flows.,4
marketing-audience-sync-use-case,Marketing Audience Sync,marketing,Syncs Airtable contacts to Mailchimp audiences,No,No,Yes,No,polling,3,0,No,No,No memory/review/events/flows. Pure sync template.,3
seo-performance-analyst,SEO Performance Analyst,marketing,Pulls Google Analytics/Search Console for SEO reports,Yes,No,Yes,Yes,schedule,2,0,No,No,Has memory and events but no review or flows.,4
sms-ops-manager,SMS Ops Manager,marketing,Routes inbound Twilio SMS by intent classification,Yes,No,Yes,No,webhook,3,0,No,Yes,Has memory but no review/events/flows. Hardcodes Slack channels.,4
visual-brand-asset-factory,Visual Brand Asset Factory,marketing,AI image generation with brand templates and approve/reject,Yes,Yes,Yes,Yes,"webhook, schedule",2,0,No,No,Has all dimensions but 0 flows. Good review concept.,5
competitive-intelligence-pipeline,Competitive Intelligence Pipeline,pipeline,3-agent team for competitor monitoring and briefings,Yes,No,Yes,No,"schedule, manual",4,0,No,Yes,Team template. No review/events/flows. Includes manual trigger. Hardcodes Slack.,4
customer-onboarding-pipeline,Customer Onboarding Pipeline,pipeline,5-agent team for end-to-end client onboarding,No,No,Yes,No,"webhook, polling, manual",6,0,No,No,Team template. No memory/review/events/flows. Includes manual trigger.,3
financial-close-pipeline,Financial Close Pipeline,pipeline,4-agent team for month-end financial close,Yes,No,Yes,No,"schedule, manual",5,0,No,Yes,Team template. No review/events/flows. Includes manual trigger. Hardcodes Slack.,4
multi-agent-content-studio,Multi-Agent Content Studio,pipeline,5-channel AI content team with feedback loops,Yes,Yes,Yes,Yes,"webhook, polling, schedule",4,0,No,No,Has all dimensions but 0 flows. Best pipeline template.,6
multi-channel-support-triage-pipeline,Multi-Channel Support Triage,pipeline,5-agent support team across email/chat/social,Yes,No,Yes,No,"polling, schedule, webhook",6,0,No,Yes,Team template. No review/events/flows. Hardcodes Slack.,4
multi-region-e-commerce-fulfillment-pipeline,Multi-Region E-Commerce Fulfillment,pipeline,4-agent team for order routing and fulfillment,No,No,Yes,No,"polling, schedule",5,0,No,Yes,Team template. No memory/review/events/flows. Hardcodes Slack.,3
ai-cost-usage-monitor,AI Cost & Usage Monitor,productivity,Tracks OpenAI API costs against budget thresholds,Yes,No,Yes,Yes,schedule,3,0,No,Yes,Has memory and events but no review or flows. Hardcodes Slack.,5
appointment-orchestrator,Appointment Orchestrator,productivity,Processes Calendly bookings with HubSpot and email follow-up,Yes,No,Yes,No,"webhook, schedule",4,0,No,Yes,Has memory but no review/events/flows. Hardcodes Slack.,5
cross-platform-task-synchronizer,Cross-Platform Task Synchronizer,productivity,Bidirectional sync between Asana and GitHub,Yes,Yes,Yes,No,polling,3,0,No,Yes,Has memory and review but no events or flows. Hardcodes Slack.,5
daily-standup-compiler,Daily Standup Compiler,productivity,Compiles Notion task statuses into daily standup reports,Yes,No,Yes,Yes,schedule,1,1,No,No,Has memory and events. Lightweight but focused. No Slack.,5
digital-clone,Digital Clone,productivity,Multi-channel communication proxy with style matching,Yes,Yes,Yes,No,"polling, schedule",3,0,No,No,Has memory and review. Unique concept. No events/flows but no hardcoded Slack.,6
email-follow-up-tracker,Email Follow-Up Tracker,productivity,Monitors unanswered Gmail threads with Slack reminders,Yes,Yes,Yes,Yes,manual,2,0,No,Yes,Has memory/review/events but 0 flows. Only manual trigger. Hardcodes Slack.,4
email-morning-digest,Email Morning Digest,productivity,AI-prioritized morning email digest,Yes,No,Yes,Yes,schedule,1,1,No,No,Has memory and events. Lightweight. No hardcoded Slack. Clean concept.,5
email-task-extractor,Email Task Extractor,productivity,Extracts action items from Gmail into Notion tasks,Yes,No,Yes,Yes,schedule,2,1,No,No,Has memory and events. Clean concept. No hardcoded Slack.,5
idea-harvester,Idea Harvester,productivity,Extracts and categorizes ideas from email into Notion,Yes,Yes,Yes,Yes,schedule,2,0,No,Yes,Has all dimensions but 0 flows. Hardcodes Slack for high-impact ideas.,5
meeting-lifecycle-manager,Meeting Lifecycle Manager,productivity,Calendar-aware meeting prep and follow-up automation,No,Yes,Yes,No,"polling, schedule",3,0,No,Yes,Has review but no memory/events/flows. Hardcodes Slack.,4
notion-docs-auditor,Notion Docs Auditor,productivity,Audits Notion workspace for stale documentation,Yes,Yes,Yes,Yes,schedule,1,0,No,Yes,Has all dimensions but 0 flows. Hardcodes Slack.,5
operational-playbook-executor,Operational Playbook Executor,productivity,Executes Coda playbook steps with progress tracking,No,Yes,Yes,Yes,"schedule, manual",3,0,No,Yes,Has review and events but no memory/flows. Includes manual trigger. Hardcodes Slack.,4
personal-capture-bot,Personal Capture Bot,productivity,Telegram bot that routes messages to Notion/Airtable by type,Yes,No,Yes,No,"polling, schedule",3,0,No,No,Has memory. Unique Telegram-first design. No review/events/flows.,5
router,Router,productivity,Universal webhook receiver that replaces Zapier,Yes,No,Yes,No,webhook,5,0,No,Yes,Has memory. Unique Zapier-replacement concept. 5 connectors but 0 flows. Hardcodes Slack.,5
survey-insights-analyzer,Survey Insights Analyzer,productivity,Analyzes survey responses and generates Notion insight reports,Yes,Yes,Yes,Yes,manual,1,1,No,No,Has all dimensions. Only manual trigger. Lightweight.,5
survey-processor,Survey Processor,productivity,Processes Google Forms responses into Airtable with scoring,Yes,No,Yes,Yes,"polling, manual",4,0,No,Yes,Has memory and events but no review/flows. Includes manual trigger. Hardcodes Slack.,4
team-decision-logger,Team Decision Logger,productivity,Captures Slack decisions into structured Notion log,Yes,No,Yes,Yes,"polling, schedule",3,0,No,Yes,Has memory and events. Inherently Slack-dependent (monitors Slack emoji). Special case.,5
weekly-review-reporter,Weekly Review Reporter,productivity,Generates weekly review reports from Notion data,Yes,No,Yes,Yes,schedule,1,1,No,No,Has memory and events. Lightweight. No hardcoded Slack.,5
client-portal-orchestrator,Client Portal Orchestrator,project-management,Full client lifecycle from signup to completion,No,No,Yes,Yes,"webhook, polling, schedule",4,0,No,Yes,No memory or review. Good multi-trigger setup but missing key dimensions. 0 flows. Hardcodes Slack.,4
deadline-synchronizer,Deadline Synchronizer,project-management,Syncs Trello deadlines to Google Calendar with reminders,Yes,No,Yes,No,polling,3,0,No,Yes,Has memory but no review/events/flows. Hardcodes Slack.,4
sheets-project-portfolio-manager,Sheets Project Portfolio Manager,project-management,Aggregates Monday.com boards into Sheets dashboard,Yes,Yes,Yes,No,"polling, schedule",4,0,No,Yes,Has memory and review but no events/flows. Hardcodes Slack.,5
technical-decision-tracker,Technical Decision Tracker,project-management,Documents engineering decisions in Notion,Yes,Yes,Yes,Yes,manual,4,0,No,Yes,Has all dimensions but 0 flows. Only manual trigger. Hardcodes Slack.,5
weekly-planning-automator,Weekly Planning Automator,project-management,Creates Todoist tasks from Notion with weekly summaries,No,No,No,No,schedule,3,0,No,Yes,Missing all key dimensions. No memory/review/messages/events/flows. Hardcodes Slack.,2
ai-research-report-generator,AI Research Report Generator,research,Multi-source web research with report synthesis,No,No,No,Yes,"webhook, polling",4,3,Yes,No,Good flows and connectors. No memory/review/messages. Needs learning loop.,5
ai-weekly-research,AI Weekly Research,research,Weekly AI topic research with knowledge base,Yes,No,Yes,No,schedule,0,1,Yes,No,Has memory and messages. No Slack. But 0 connectors and 1 flow. Lightweight.,4
conversational-database-analyst,Conversational Database Analyst,research,Natural language SQL queries against databases,Yes,No,No,Yes,"webhook, polling, schedule",3,3,Yes,Yes,Good flows. Has memory. Hardcodes Slack. Missing review and messages.,6
customer-event-intelligence,Customer Event Intelligence,research,Enriches Segment events with behavioral data for intent detection,Yes,No,No,Yes,webhook,3,3,Yes,Yes,Good event-driven design. Has memory. Hardcodes Slack. Missing review and messages.,6
database-performance-monitor,Database Performance Monitor,research,Monitors DB performance against historical baselines,Yes,Yes,No,Yes,manual,0,1,No,No,Has memory and review. Lightweight. 0 connectors. Only manual trigger.,4
industry-intelligence-aggregator,Industry Intelligence Aggregator,research,Aggregates RSS feeds with AI-powered analysis,Yes,No,No,Yes,"schedule, polling",3,3,Yes,Yes,Good flows. Has memory. Hardcodes Slack. Missing review and messages.,6
product-analytics-briefer,Product Analytics Briefer,research,Daily Mixpanel metrics with AI trend analysis,Yes,No,No,Yes,schedule,3,3,Yes,Yes,Good flows. Has memory. Hardcodes Slack. Missing review and messages.,6
product-scout,Product Scout,research,Scans Gmail for implementation opportunities,No,No,No,Yes,"schedule, manual",3,3,Yes,Yes,Good flows but no memory/review/messages. Includes manual trigger. Hardcodes Slack.,5
product-signal-detector,Product Signal Detector,research,Detects Amplitude behavioral anomalies with Linear escalation,No,No,No,Yes,schedule,3,3,Yes,Yes,Excellent flows and structure. The reference template. But no memory/review/messages. Hardcodes Slack.,7
research-knowledge-curator,Research Knowledge Curator,research,Extracts URL content into structured Notion pages,Yes,No,No,Yes,manual,0,2,No,No,Has memory. Lightweight. 0 connectors. Only manual trigger.,4
research-paper-indexer,Research Paper Indexer,research,Indexes academic papers with AI summaries,Yes,Yes,No,Yes,manual,0,2,No,No,Has memory and review. 0 connectors. Only manual trigger. Lightweight.,4
website-market-intelligence-profiler,Website & Market Intelligence Profiler,research,AI website analysis for industry classification,Yes,No,No,Yes,"schedule, manual",2,3,Yes,Yes,Good flows. Has memory. Hardcodes Slack. Includes manual trigger. Missing review/messages.,5
contact-enrichment-agent,Contact Enrichment Agent,sales,Enriches contacts from Gmail signatures,Yes,Yes,No,Yes,schedule,0,1,No,No,Has memory and review. 0 connectors and 1 flow. Missing messages. Lightweight.,4
contact-sync-manager,Contact Sync Manager,sales,Auto-extracts contact info from Gmail signatures,Yes,Yes,No,Yes,polling,0,2,No,No,Has memory and review. 0 connectors. Missing messages. Lightweight.,4
crm-data-quality-auditor,CRM Data Quality Auditor,sales,Scans HubSpot for duplicates and data issues,Yes,Yes,No,Yes,schedule,3,3,Yes,Yes,Good structure. Has memory and review. Missing messages. Hardcodes Slack.,6
email-lead-extractor,Email Lead Extractor,sales,Extracts lead info from Gmail into structured records,Yes,Yes,No,Yes,manual,0,1,No,Yes,Has memory and review. 0 connectors. Only manual trigger. Hardcodes Slack.,3
lead-capture-pipeline,Lead Capture Pipeline,sales,Processes Typeform submissions with lead scoring,Yes,No,No,Yes,"webhook, polling",4,3,Yes,Yes,Good flows and connectors. Has memory. Missing review and messages. Hardcodes Slack.,6
outbound-sales-intelligence-pipeline,Outbound Sales Intelligence,sales,Prospect list enrichment through multiple intelligence sources,Yes,No,No,Yes,"polling, schedule",4,3,Yes,Yes,Good flows and connectors. Has memory. Missing review and messages. Hardcodes Slack.,6
personality-enriched-sales-prep,Personality-Enriched Sales Prep,sales,AI personality analysis for meeting preparation,Yes,No,No,Yes,"polling, webhook, schedule",4,3,Yes,Yes,Good flows and connectors. Has memory. Hardcodes Slack. Unique concept.,6
sales-deal-analyzer,Sales Deal Analyzer,sales,Monthly win/loss pattern analysis with Notion insights,Yes,Yes,No,Yes,schedule,0,2,No,No,Has memory and review. 0 connectors. Missing messages.,4
sales-deal-tracker,Sales Deal Tracker,sales,Monitors Salesforce deal stage progressions,Yes,No,No,Yes,manual,0,2,No,No,Has memory. 0 connectors. Only manual trigger. Missing review and messages.,3
sales-pipeline-autopilot,Sales Pipeline Autopilot,sales,HubSpot deal stage automation with personalized emails,Yes,No,No,Yes,"polling, schedule",3,3,Yes,Yes,Good flows and connectors. Has memory. Missing review and messages. Hardcodes Slack.,6
sales-proposal-generator,Sales Proposal Generator,sales,Auto-generates Notion proposals from deal data,Yes,Yes,No,Yes,manual,0,2,No,Yes,Has memory and review. 0 connectors. Only manual trigger. Hardcodes Slack.,4
sheets-e-commerce-command-center,Sheets E-Commerce Command Center,sales,Shopify order monitoring with Sheets dashboard,Yes,No,No,Yes,"polling, schedule",3,3,Yes,Yes,Good flows and connectors. Has memory. Missing review and messages. Hardcodes Slack.,6
access-request-manager,Access Request Manager,security,Multi-level approval workflow for access requests,Yes,Yes,No,Yes,polling,0,2,No,No,Has memory and review. 0 connectors. Missing messages. Lightweight.,4
brand-protection-sentinel,Brand Protection Sentinel,security,Monitors for lookalike domains and brand impersonation,Yes,No,No,Yes,schedule,3,3,Yes,Yes,Good flows and connectors. Has memory. Missing review and messages. Hardcodes Slack.,6
security-vulnerability-pipeline,Security Vulnerability Pipeline,security,GitHub + Snyk vulnerability scanning with JIRA tracking,No,No,No,Yes,"webhook, schedule",4,3,Yes,Yes,Good flows and connectors. Missing all key dimensions (memory/review/messages). Hardcodes Slack.,5
customer-feedback-router,Customer Feedback Router,support,Routes Intercom conversations to Linear/Slack by type,Yes,Yes,No,Yes,"polling, schedule",3,3,Yes,Yes,Good structure. Has memory and review. Missing messages. Hardcodes Slack.,6
email-support-assistant,Email Support Assistant,support,AI email support with knowledge base matching,Yes,Yes,No,Yes,polling,0,2,No,No,Has memory and review. 0 connectors. Missing messages. Lightweight.,4
knowledge-base-review-cycle-manager,KB Review Cycle Manager,support,Rotational Notion KB article review assignments,Yes,No,No,Yes,schedule,3,3,Yes,Yes,Good flows. Has memory. Missing review and messages. Hardcodes Slack.,5
support-email-router,Support Email Router,support,Gmail email categorization into priority tickets,Yes,Yes,No,Yes,polling,2,2,No,Yes,Has memory and review. Missing messages. Hardcodes Slack.,5
support-escalation-engine,Support Escalation Engine,support,Monitors Freshdesk SLA violations with escalation,Yes,No,No,Yes,"polling, schedule",4,3,Yes,Yes,Good flows and connectors. Has memory. Missing review and messages. Hardcodes Slack.,6
support-intelligence-use-case,Support Intelligence,support,Triages Zendesk tickets by content and sentiment,Yes,Yes,No,Yes,polling,3,3,Yes,Yes,Good structure. Has memory and review. Missing messages. Hardcodes Slack.,6
