key,english,czech
"common.node_count_one","{count} node","{count} uzel"
"common.node_count_other","{count} nodes","{count} uzlů"
"common.edge_count_one","{count} edge","{count} hrana"
"common.edge_count_other","{count} edges","{count} hran"
"common.adoption_count_one","{count} adoption","{count} adopce"
"common.adoption_count_other","{count} adoptions","{count} adopcí"
"common.selected","selected","vybráno"
"common.all","All","Vše"
"common.none","None","Žádné"
"common.go_back","Go back",""
"common.dismiss_notification","Dismiss notification",""
"common.connecting","Connecting...",""
"common.connected","Connected",""
"common.disconnected","Disconnected",""
"common.reconnecting","Reconnecting",""
"common.reconnect_attempt","Reconnection attempt {attempt} -- retrying in {seconds}s",""
"common.error_boundary_title_named","Something unexpected happened in {name}",""
"common.error_boundary_title","Something unexpected happened",""
"common.error_boundary_subtitle","Don't worry -- your data is safe. You can try again or head back to the dashboard.",""
"common.try_again","Try Again",""
"common.go_to_dashboard","Go to Dashboard",""
"common.copy_report","Copy report for support",""
"common.copied_to_clipboard","Copied to clipboard",""
"common.for_developers","For developers",""
"common.no_stack_trace","No stack trace available",""
"common.resolve","Resolve",""
"common.toast_overflow","+{count} more",""
"common.unsaved_title","Save changes before leaving?",""
"common.unsaved_body_sections","You have unsaved changes in {sections}. These will be lost if you leave without saving.",""
"common.unsaved_body","You have unsaved changes that will be lost if you leave without saving.",""
"common.save_and_continue","Save and continue",""
"common.discard_changes","Discard changes",""
"common.stay_on_page","Stay on page",""
"common.type_to_confirm","Type {name} to confirm",""
"common.quick_edit","Quick Edit",""
"common.description_label","Description",""
"common.model_label","Model",""
"common.agent_description_placeholder","Agent description...",""
"common.simple_mode","Simple mode",""
"common.advanced_json","Advanced (JSON)",""
"common.label_placeholder","Label",""
"common.value_placeholder","Value",""
"common.duplicate_key","Duplicate key",""
"common.add_field","Add field",""
"common.select_directory","Select a directory...",""
"common.select_output_directory","Select output directory",""
"common.browse","Browse",""
"common.select_persona","Select persona",""
"common.all_personas","All Personas",""
"common.search_ellipsis","Search...",""
"common.no_personas_matching","No personas matching ""{query}""",""
"common.drop_file_here","Drop file here",""
"common.attach","Attach",""
"common.references","References",""
"common.files_attached_one","{count} file attached",""
"common.files_attached_other","{count} files attached",""
"common.press_enter_to_submit","Press Enter to submit, Shift+Enter for new line.",""
"common.staleness_just_now","just now",""
"common.staleness_minutes_ago","{minutes}m ago",""
"common.staleness_hours_ago","{hours}h ago",""
"common.staleness_days_ago","{days}d ago",""
"common.staleness_tooltip_labeled","{label} data last updated {age}",""
"common.staleness_tooltip","Data last updated {age}",""
"common.staleness_refresh_failed","(refresh failed)",""
"common.command_palette_placeholder","Search agents, credentials, templates... (type "">"" for commands)",""
"common.command_palette_navigate","navigate",""
"common.command_palette_select","select",""
"common.command_palette_commands","commands",""
"common.loading_label","Loading",""
"chrome.app_title","Personas",""
"chrome.skip_to_content","Skip to content",""
"chrome.minimize","Minimize",""
"chrome.restore","Restore",""
"chrome.maximize","Maximize",""
"chrome.close_window","Close",""
"chrome.update_available","Update available: v{version}",""
"chrome.install_and_restart","Install & Restart",""
"chrome.installing","Installing...",""
"chrome.expand_sidebar","Expand sidebar",""
"chrome.collapse_sidebar","Collapse sidebar",""
"chrome.network_settings","Network settings",""
"chrome.dark","Dark",""
"chrome.light","Light",""
"chrome.sign_in_google","Sign in with Google",""
"chrome.signed_in","Signed in",""
"chrome.sign_out","Sign out",""
"chrome.offline","Offline",""
"sidebar.home","Home","Domů"
"sidebar.overview","Overview","Přehled"
"sidebar.agents","Agents","Agenti"
"sidebar.events","Events","Události"
"sidebar.keys","Connections","Klíče"
"sidebar.templates","Templates","Šablony"
"sidebar.teams","Teams","Týmy"
"sidebar.cloud","Cloud","Cloud"
"sidebar.settings","Settings","Nastavení"
"sidebar.welcome","Welcome","Vítejte"
"sidebar.system_check","System Check","Kontrola systému"
"sidebar.dashboard","Dashboard","Dashboard"
"sidebar.executions","Activity","Spuštění"
"sidebar.manual_review","Approvals","Ruční kontrola"
"sidebar.messages","Messages","Zprávy"
"sidebar.knowledge","Knowledge","Znalosti"
"sidebar.sla","Reliability","SLA"
"sidebar.cron_agents","Scheduled Agents","Cron agenti"
"sidebar.schedules","Schedules","Plány"
"sidebar.health","Health",""
"sidebar.live_stream","Live Stream",""
"sidebar.throttling","Speed Limits",""
"sidebar.test","Test",""
"sidebar.local_relay","Local Relay",""
"sidebar.cloud_events","Cloud Events",""
"sidebar.roadmap","Roadmap",""
"sidebar.credentials","Credentials","Přihlašovací údaje"
"sidebar.databases","Databases","Databáze"
"sidebar.catalog","Catalog","Katalog"
"sidebar.graph","Dependencies",""
"sidebar.add_new","Add new","Přidat nové"
"sidebar.plugins","Plugins",""
"sidebar.n8n_import","n8n Import","n8n Import"
"sidebar.generated","Generated","Vygenerované"
"sidebar.all_deployments","All Deployments","Všechna nasazení"
"sidebar.cloud_execution","Cloud Runs","Cloud spuštění"
"sidebar.gitlab","GitLab","GitLab"
"sidebar.account","Account","Účet"
"sidebar.appearance","Appearance","Vzhled"
"sidebar.notifications","Notifications","Oznámení"
"sidebar.engine","Engine","Engine"
"sidebar.byom","Custom Models","BYOM"
"sidebar.data","Data","Data"
"sidebar.admin","Admin","Admin"
"sidebar.create","Create",""
"sidebar.all_agents","All Agents",""
"sidebar.favorites","Favorites",""
"sidebar.recent","Recent",""
"sidebar.browse","Browse",""
"sidebar.dev_tools","Dev Tools",""
"sidebar.active_project","Active Project",""
"sidebar.projects","Projects",""
"sidebar.context_map","Context Map",""
"sidebar.idea_scanner","Idea Scanner",""
"sidebar.idea_triage","Idea Triage",""
"sidebar.task_runner","Task Runner",""
"sidebar.skills","Skills",""
"sidebar.network","Network",""
"sidebar.coming_soon","Coming soon","Již brzy"
"sidebar.sign_in_to_unlock","Sign in to unlock cloud features","Přihlaste se pro cloud funkce"
"sidebar.soon_badge","soon","brzy"
"sidebar.pending_reviews_sr","{count} pending review","{count} čekající kontrola"
"sidebar.pending_reviews_sr_other","{count} pending reviews","{count} čekajících kontrol"
"sidebar.unread_messages_sr","{count} unread message","{count} nepřečtená zpráva"
"sidebar.unread_messages_sr_other","{count} unread messages","{count} nepřečtených zpráv"
"sidebar.pending_events_sr","{count} pending event","{count} čekající událost"
"sidebar.pending_events_sr_other","{count} pending events","{count} čekajících událostí"
"home.welcome","Welcome","Vítejte"
"home.greeting_morning","Good Morning","Dobré ráno"
"home.greeting_afternoon","Good Afternoon","Dobré odpoledne"
"home.greeting_evening","Good Evening","Dobrý večer"
"home.operator","User","Operátor"
"home.summary_empty","Get started by creating your first agent or exploring the platform.","Začněte vytvořením prvního agenta nebo prozkoumáním platformy."
"home.summary_stats","You have {personasCount} agent{personasPlural} and {credentialsCount} credential{credentialsPlural} configured.","Máte {personasCount} agent{personasPlural} a {credentialsCount} přihlašovací{credentialsPlural} údaj{credentialsPlural} nakonfigurováno."
"home.quick_navigation","Quick Navigation","Rychlá navigace"
"home.platform_label","personas platform","platforma personas"
"home.roadmap.title","Product Roadmap",""
"home.roadmap.subtitle","What we're building now and what comes next.",""
"home.roadmap.unavailable","Roadmap unavailable",""
"home.roadmap.unavailable_hint","Could not load the product roadmap. Check your connection and try again.",""
"home.roadmap.status_in_progress","In Progress",""
"home.roadmap.status_next","Next",""
"home.roadmap.status_planned","Planned",""
"home.roadmap.status_completed","Completed",""
"home.roadmap.priority_now","Now",""
"home.roadmap.priority_next","Next",""
"home.roadmap.priority_later","Later",""
"home.roadmap.in_progress_count","{count} In Progress",""
"home.roadmap.next_count","{count} Next",""
"home.setup.choose_role","Choose your role",""
"home.setup.choose_role_hint","We'll tailor the experience to match how you work.",""
"home.setup.pick_tool","Pick your favorite tool",""
"home.setup.pick_tool_hint","This will be your first service connection.",""
"home.setup.describe_goal","What do you want to automate?",""
"home.setup.describe_goal_hint","Describe your first automation goal — we'll help you set it up.",""
"home.setup.goal_placeholder","e.g. Automatically sync new Jira tickets to a Slack channel...",""
"home.setup.ready_to_save","Ready to save",""
"home.setup.step_role","Your Role",""
"home.setup.step_role_hint","Tell us your role so we can tailor the experience.",""
"home.setup.step_tool","Favorite Tool",""
"home.setup.step_tool_hint","Pick the first service you want to connect.",""
"home.setup.step_goal","Automation Goal",""
"home.setup.step_goal_hint","Describe what you would like to automate first.",""
"home.setup.select_role_first","Select a role first to unlock tool options.",""
"home.setup.select_tool_first","Select a tool first to set your goal.",""
"home.setup.get_started","Get Started",""
"home.setup.role_office_rat","Office Rat",""
"home.setup.role_office_rat_hint","Non-technical user",""
"home.setup.role_developer","Developer",""
"home.setup.role_developer_hint","Technical user",""
"home.setup.role_manager","Manager",""
"home.setup.role_manager_hint","Planning & coordination",""
"home.setup.role","Role",""
"home.setup.tool","Tool",""
"home.setup.goal","Goal",""
"home.nav.overview.label","Overview","Přehled"
"home.nav.overview.description","See how your agents are performing, what they've done recently, and monitor everything in one place","Analytika dashboardu, historie spuštění a monitorování systému v reálném čase napříč agenty"
"home.nav.personas.label","Agents","Agenti"
"home.nav.personas.description","Create, set up, and manage your AI agents -- give them custom behaviors and connect them to your tools","Vytvářejte, konfigurujte a spravujte AI agenty s vlastním chováním a schopnostmi"
"home.nav.events.label","Events","Události"
"home.nav.events.description","Set up what triggers your agents to run -- schedules, incoming notifications, or changes you define","Nastavte spouštěče událostí, webhook listenery a časované automatizace"
"home.nav.credentials.label","Connections","Klíče"
"home.nav.credentials.description","Manage your service logins, database connections, and passwords that let agents access your tools","Spravujte API přihlašovací údaje, databázová připojení, OAuth tokeny a šifrované tajné klíče"
"home.nav.design-reviews.label","Templates","Šablony"
"home.nav.design-reviews.description","Browse ready-made agent blueprints, import workflows, and generate new agent designs","Importujte n8n workflow, procházejte galerii šablon a generujte blueprinty agentů"
"home.nav.team.label","Teams","Týmy"
"home.nav.team.description","Combine multiple agents into a team that works together on multi-step workflows","Sestavujte multi-agentní týmové pipeline s drag-and-drop orchestrací a směrováním"
"home.nav.cloud.label","Cloud","Cloud"
"home.nav.cloud.description","Run your agents in the cloud so they work even when your computer is off","Nasaďte agenty do cloudové infrastruktury, spravujte plány a integrujte GitLab CI"
"home.nav.settings.label","Settings","Nastavení"
"home.nav.settings.description","Your account, how the app looks, notification preferences, and advanced options","Předvolby účtu, motivy vzhledu, pravidla oznámení a konfigurace engine"
"home.nav.plugins.label","Plugins",""
"home.nav.plugins.description","Extend your agents with third-party plugins and custom extensions",""
"home.learning.title","Learning Center",""
"home.learning.subtitle","Guided tours and quick tricks to master Personas",""
"home.learning.guided_tours","Guided Tours",""
"home.learning.tours_completed","{completed}/{total} completed",""
"home.learning.done","Done",""
"home.learning.restart","Restart",""
"home.learning.start_tour","Start Tour",""
"home.learning.steps_count","{count} steps",""
"home.learning.tricks_tips","Tricks & Tips",""
"home.learning.guides_count","{count} guides",""
"home.learning.how_to_use","How to use",""
"home.learning.pro_tip","Pro tip: ",""
"home.learning.cat_agent_craft","Agent Craft",""
"home.learning.cat_observability","Observability & Events",""
"home.learning.cat_platform","Platform & Setup",""
"home.setup_stepper.your_profile","Your profile",""
"home.setup_stepper.choose_role","Choose your role",""
"home.setup_stepper.tailor_hint","We'll tailor the experience to match how you work.",""
"home.setup_stepper.simple_hint","We've set up the app for everyday office use.",""
"home.setup_stepper.pick_tool","Pick your favorite tool",""
"home.setup_stepper.tool_hint","This will be your first connector integration.",""
"home.setup_stepper.automate_title","What do you want to automate?",""
"home.setup_stepper.automate_hint","Describe your first automation goal -- we'll help you set it up.",""
"home.setup_stepper.automate_placeholder","e.g. Automatically sync new Jira tickets to a Slack channel...",""
"home.setup_stepper.min_chars","Min 10 characters ({current}/10)",""
"home.setup_stepper.ready_to_save","Ready to save",""
"home.setup_stepper.back","Back",""
"home.setup_stepper.next","Next",""
"home.setup_stepper.finish","Finish",""
"home.welcome_layout.get_started","Get Started",""
"home.welcome_layout.language","Language",""
"home.icon_showcase.lucide_tab","Lucide (Library)",""
"home.icon_showcase.personas_tab","Personas (Animated)",""
"home.icon_showcase.lucide_footer","lucide-react -- generic icon library -- static",""
"home.icon_showcase.personas_footer","9 custom icons -- neural/circuit motifs -- CSS-animated -- theme-adaptive",""
"agents.title","Personas","Personas"
"agents.loading","Loading...","Načítání..."
"agents.overview.title","My Agents","Přehled agentů"
"agents.overview.subtitle_one","{count} agent -- sorted by relevance","{count} agent -- seřazeno dle relevance"
"agents.overview.subtitle_other","{count} agents -- sorted by relevance","{count} agentů -- seřazeno dle relevance"
"agents.overview.needs_attention","Needs Attention","Vyžaduje pozornost"
"agents.overview.active","Active","Aktivní"
"agents.overview.idle","Idle","Nečinní"
"agents.sidebar.no_match","No agents match your filters","Žádní agenti neodpovídají filtrům"
"agents.sidebar.clear_filters","Clear all filters","Vymazat všechny filtry"
"agents.sidebar.empty","No personas yet","Zatím žádné persony"
"agents.preview.sensitive_hidden","Sensitive Preview Hidden","Citlivý náhled skryt"
"agents.preview.sensitive_detail","Details are masked for this persona.","Detaily této persony jsou maskovány."
"agents.preview.alt_key","Alt","Alt"
"agents.preview.no_description","No description yet.","Zatím bez popisu."
"agents.preview.last_execution","Last Execution","Poslední spuštění"
"agents.preview.no_executions","No executions yet","Zatím žádná spuštění"
"agents.preview.today","Today","Dnes"
"agents.preview.ok","OK","OK"
"agents.preview.fail","Fail","Chyba"
"agents.preview.triggers_active_one","{count} trigger active","{count} aktivní spouštěč"
"agents.preview.triggers_active_other","{count} triggers active","{count} aktivních spouštěčů"
"agents.preview.no_triggers","No triggers","Žádné spouštěče"
"agents.preview.custom_model","Custom","Vlastní"
"agents.creation.heading","New Agent","Nový agent"
"agents.creation.subtitle","Set a name and identity for your agent.","Nastavte název a identitu vašeho agenta."
"agents.creation.name_placeholder","Agent name","Název agenta"
"agents.creation.description_label","Description","Popis"
"agents.creation.description_optional","(optional)","(volitelné)"
"agents.creation.description_placeholder","Short description","Krátký popis"
"agents.creation.customize_appearance","Customize appearance","Přizpůsobit vzhled"
"agents.creation.customize_optional","(optional)","(volitelné)"
"agents.creation.icon_label","Icon","Ikona"
"agents.creation.color_label","Color","Barva"
"agents.creation.group_label","Group","Skupina"
"agents.creation.no_group","No group","Bez skupiny"
"agents.creation.create_button","Create Agent","Vytvořit agenta"
"agents.creation.creating_button","Creating...","Vytváření..."
"agents.creation.name_required","Enter a name to continue","Pro pokračování zadejte název"
"agents.editor.tabs.use_cases","Use Cases","Případy užití"
"agents.editor.tabs.prompt","Prompt","Prompt"
"agents.editor.tabs.lab","Lab","Lab"
"agents.editor.tabs.connectors","Connectors","Konektory"
"agents.editor.tabs.design","Design","Design"
"agents.editor.tabs.health","Health","Zdraví"
"agents.editor.tabs.settings","Settings","Nastavení"
"agents.editor.tabs.model","Model","Model"
"agents.editor.no_persona","No persona selected","Žádná persona nevybrána"
"agents.editor.save_failed","Failed to save {tabs}","Nepodařilo se uložit {tabs}"
"agents.editor.save_failed_generic","Failed to save changes","Nepodařilo se uložit změny"
"agents.editor.unsaved_changes","Unsaved changes: {sections}","Neuložené změny: {sections}"
"agents.editor.unsaved_changes_generic","Unsaved changes","Neuložené změny"
"agents.editor.save_and_switch","Save & Switch","Uložit a přepnout"
"agents.editor.discard","Discard","Zahodit"
"agents.editor.design_wizard_banner","Customize this template with the AI Design Wizard","Přizpůsobte tuto šablonu pomocí průvodce návrhem"
"agents.editor.try_design_wizard","Try Design Wizard","Vyzkoušet průvodce"
"agents.editor.cloud_banner_connect","Connect to the cloud to run your agents remotely","Připojte cloudový orchestrátor pro vzdálené spouštění person"
"agents.editor.cloud_banner_signin","Sign in to unlock cloud features and remote execution","Přihlaste se pro cloud funkce a vzdálené spouštění"
"agents.editor.sign_in","Sign In","Přihlásit se"
"agents.editor.set_up_cloud","Set up Cloud","Nastavit Cloud"
"agents.header.no_triggers_warning","No triggers set up -- this agent won't run automatically","Žádné spouštěče ani odběry událostí nakonfigurovány"
"agents.header.missing_credentials","Missing credentials: {credentials}","Chybějící přihlašovací údaje: {credentials}"
"agents.header.toggle_failed","Failed to toggle persona -- check your connection","Nepodařilo se přepnout personu -- zkontrolujte připojení"
"agents.header.cannot_enable","Cannot enable persona","Nelze zapnout personu"
"agents.sr_card","{name}, {status}","{name}, {status}"
"agents.filters.all","All",""
"agents.filters.all_agents","All Agents",""
"agents.filters.favorites","Favorites",""
"agents.filters.recent","Recent",""
"agents.filters.status_all","All",""
"agents.filters.status_active","Active",""
"agents.filters.status_disabled","Disabled",""
"agents.filters.status_drafts","Drafts",""
"agents.filters.health_all","All Health",""
"agents.filters.health_healthy","Healthy",""
"agents.filters.health_degraded","Degraded",""
"agents.filters.health_failing","Failing",""
"agents.filters.last_run","Last Run",""
"agents.filters.never","Never",""
"agents.filters.selected","{count} selected",""
"agents.filters.remove_from_favorites","Remove from favorites",""
"agents.filters.add_to_favorites","Add to favorites",""
"agents.filters.filter_by","Filter by {label}",""
"agents.status.draft","Draft",""
"agents.status.disabled","Disabled",""
"agents.status.healthy","Healthy",""
"agents.status.degraded","Degraded",""
"agents.status.failing","Failing",""
"agents.status.building","Building",""
"agents.executions.no_persona_selected","No persona selected",""
"agents.executions.loading_executions","Loading executions",""
"agents.executions.agent_ready","Your agent is ready to go",""
"agents.executions.agent_ready_subtitle","Run it to see results here. Each execution will appear in this timeline.",""
"agents.executions.try_it_now","Try it now",""
"agents.executions.history","History",""
"agents.executions.sensitive_visible","Sensitive values are visible",""
"agents.executions.sensitive_masked","Sensitive values are masked",""
"agents.executions.raw","Raw",""
"agents.executions.masked","Masked",""
"agents.executions.compare","Compare",""
"agents.executions.select_first","Select the first execution to compare",""
"agents.executions.select_second","Now select the second execution",""
"agents.executions.ready_to_compare","Ready to compare",""
"agents.executions.vs","vs",""
"agents.executions.col_status","Status",""
"agents.executions.col_duration","Duration",""
"agents.executions.col_started","Started",""
"agents.executions.col_tokens","Tokens",""
"agents.executions.col_cost","Cost",""
"agents.executions.input_tokens","Input tokens",""
"agents.executions.output_tokens","Output tokens",""
"agents.executions.healing_retry","Healing retry #{count}",""
"agents.executions.execution_id","Execution ID",""
"agents.executions.model","Model",""
"agents.executions.model_default","default",""
"agents.executions.cost","Cost",""
"agents.executions.completed","Completed",""
"agents.executions.input_data","Input Data",""
"agents.executions.output_data","Output Data",""
"agents.executions.error","Error",""
"agents.executions.rerun_with_same_input","Re-run with same input",""
"agents.executions.compare_with_original","Compare with original",""
"agents.executions.execution_log","Execution Log",""
"agents.executions.copy_log_tooltip","Copy log to clipboard",""
"agents.executions.loading_log","Loading log...",""
"agents.executions.log_empty","Log file is empty or was not found.",""
"agents.executions.failed_to_load_log","Failed to load log",""
"agents.executions.loading_memories","Loading memories",""
"agents.executions.memories_created","Memories Created ({count})",""
"agents.executions.tab_detail","Detail",""
"agents.executions.tab_inspector","Inspector",""
"agents.executions.tab_trace","Trace",""
"agents.executions.tab_pipeline","Pipeline",""
"agents.executions.tab_replay","Replay",""
"agents.executions.stopped_while_running","Stopped while running",""
"agents.executions.resume_from_here","Resume from here",""
"agents.executions.error_label","Error",""
"agents.executions.healing_started","AI Healing started",""
"agents.executions.healing_diagnosing","Diagnosing...",""
"agents.executions.healing_applying_one","Applying {count} fix...",""
"agents.executions.healing_applying_other","Applying {count} fixes...",""
"agents.executions.healing_completed_fixes_one","{count} fix applied",""
"agents.executions.healing_completed_fixes_other","{count} fixes applied",""
"agents.executions.healing_completed_retrying"," -- retrying",""
"agents.executions.healing_no_fixes","No fixes needed",""
"agents.executions.healing_failed","Healing failed",""
"agents.executions.dismiss","dismiss",""
"agents.executions.retrying_in","Retrying in {seconds}s...",""
"agents.executions.retrying_now","Retrying now...",""
"agents.executions.attempt_of","Attempt {current} of {max}",""
"agents.executions.view_healing_issues","View in healing issues",""
"agents.executions.run_persona","Run Persona",""
"agents.executions.input_data_optional","Input Data (Optional)",""
"agents.executions.connect_remote","Connect via Remote Control",""
"agents.executions.stop_execution","Stop Execution",""
"agents.executions.execute_on_cloud","Execute on Cloud",""
"agents.executions.execute_persona","Execute Persona",""
"agents.executions.verification_failed","Could not verify a previously running execution. It may still be active on the backend.",""
"agents.executions.dismiss_abandon","Dismiss and abandon execution",""
"agents.executions.elapsed","{elapsed} elapsed",""
"agents.executions.typically_completes","Typically completes in ~{elapsed}",""
"agents.executions.taking_longer","Taking longer than usual...",""
"agents.executions.ready_to_execute","Ready to execute — click Run or press",""
"agents.executions.queued_position","Queued -- position {position}",""
"agents.executions.queued_position_of","Queued -- position {position} of {depth}",""
"agents.executions.phases","Phases",""
"agents.executions.approaching_budget","Approaching budget limit",""
"agents.executions.budget_exceeded","Monthly budget exceeded",""
"agents.executions.budget_spend_detail","This agent has spent ${spend} of its ${limit} monthly limit ({percent}%). Execution is paused to prevent unexpected costs.",""
"agents.executions.run_anyway_session","Run anyway (this session)",""
"agents.executions.raise_budget","Raise budget",""
"agents.executions.resets_in","Resets {days}",""
"agents.executions.budget_unavailable","Budget data unavailable",""
"agents.executions.budget_unavailable_detail","Could not verify current spend. Execution is blocked as a safety precaution until budget data refreshes.",""
"agents.executions.run_anyway","Run anyway",""
"agents.executions.retrying_automatically","Retrying automatically...",""
"agents.executions.execution_stuck","Execution appears stuck",""
"agents.executions.no_new_output","No new output for a while",""
"agents.executions.stuck_tooltip","The agent has not produced output for 2+ minutes. It may be waiting on an external API or encountering an issue.",""
"agents.executions.silent_tooltip","The agent has been silent for over a minute. This can happen during long API calls or complex reasoning.",""
"agents.executions.stuck_detail","The agent has not produced any output for over 2 minutes. This usually means it is waiting on a slow external API, the connected service is unresponsive, or the execution process has stalled.",""
"agents.executions.silent_detail","The agent has been silent for over a minute. Long pauses can occur during complex reasoning or when waiting for API responses. If the silence continues, the status will escalate.",""
"agents.executions.suggested_actions","Suggested actions",""
"agents.executions.cancel_retry","Cancel & retry",""
"agents.executions.view_execution_log","View execution log",""
"agents.executions.wait_hint","You can also wait — some operations take time",""
"agents.executions.connectivity_tip","Tip: Check if the connected API or service is responding. Network issues or rate limits can cause prolonged silence.",""
"agents.executions.preview","Preview",""
"agents.executions.estimating","Estimating...",""
"agents.executions.est","est.",""
"agents.executions.of_budget","{percent}% of budget",""
"agents.executions.monthly_spend","Monthly Spend",""
"agents.executions.unlimited","unlimited",""
"agents.executions.input_cost","Input Cost",""
"agents.executions.output_cost_est","Output Cost (est.)",""
"agents.executions.prompt_preview","Prompt Preview",""
"agents.executions.execution_comparison","Execution Comparison",""
"agents.executions.what_changed","What Changed",""
"agents.executions.left","Left",""
"agents.executions.right","Right",""
"agents.executions.retry_count","retry #{count}",""
"agents.executions.tool_call_timeline","Tool Call Timeline",""
"agents.executions.input_data_diff","Input Data Diff",""
"agents.executions.output_data_diff","Output Data Diff",""
"agents.executions.tool_call_timeline_steps","Tool Call Timeline ({count} steps)",""
"agents.executions.no_tool_calls","No tool calls recorded",""
"agents.executions.tool_steps_appear","Tool steps appear after execution completes",""
"agents.executions.cost_breakdown","Cost Breakdown",""
"agents.executions.unknown_model_pricing","Unknown model -- no pricing data",""
"agents.executions.input_label","Input: {cost}",""
"agents.executions.output_label","Output: {cost}",""
"agents.executions.total_label","Total: {cost}",""
"agents.executions.input_pct","Input ({percent}%)",""
"agents.executions.output_pct","Output ({percent}%)",""
"agents.executions.input","Input",""
"agents.executions.output","Output",""
"agents.executions.pending","pending",""
"agents.executions.loading_trace","Loading trace",""
"agents.executions.failed_to_load_trace","Failed to load trace: {error}",""
"agents.executions.no_trace_data","No trace data recorded",""
"agents.executions.trace_spans_appear","Trace spans appear during execution",""
"agents.executions.span","Span",""
"agents.executions.errors","Errors",""
"agents.executions.duration","Duration",""
"agents.executions.tokens","Tokens",""
"agents.executions.spans","Spans",""
"agents.executions.trace_incomplete","Trace incomplete: {count} span evicted (limit: 10,000)",""
"agents.executions.trace_incomplete_other","Trace incomplete: {count} spans evicted (limit: 10,000)",""
"agents.executions.no_pipeline_trace","No pipeline trace available",""
"agents.executions.pipeline_traces_captured","Pipeline traces are captured for new executions",""
"agents.executions.legend_frontend","Frontend",""
"agents.executions.legend_backend","Backend",""
"agents.executions.legend_engine","Engine",""
"agents.executions.legend_tool_call","Tool Call",""
"agents.executions.live","Live",""
"agents.executions.stage","Stage",""
"agents.executions.stage_errors","Stage Errors",""
"agents.executions.total_duration","Total Duration",""
"agents.executions.stages","Stages",""
"agents.executions.cost_accrual","Cost Accrual -- ${cost}",""
"agents.executions.execution_theater","Execution Theater",""
"agents.executions.loading_theater","Loading execution theater...",""
"agents.executions.loading_execution_data","Loading execution data...",""
"agents.executions.tools","Tools",""
"agents.executions.trace","Trace",""
"agents.executions.jump_to_start","Jump to start (Home)",""
"agents.executions.previous_step","Previous step (Shift+Left)",""
"agents.executions.play_pause","Play/Pause (Space)",""
"agents.executions.next_step","Next step (Shift+Right)",""
"agents.executions.jump_to_end","Jump to end (End)",""
"agents.executions.clear_fork_point","Clear fork point",""
"agents.executions.fork_after_step","Fork after step {step}",""
