key,english,czech
"common.use_case_count_one","{count} use case","{count} případ užití"
"common.use_case_count_other","{count} use cases","{count} případů užití"
"common.step_count_one","{count} step","{count} krok"
"common.step_count_other","{count} steps","{count} kroků"
"common.scenario_count_one","{count} scenario","{count} scénář"
"common.scenario_count_other","{count} scenarios","{count} scénářů"
"common.node_count_one","{count} node","{count} uzel"
"common.node_count_other","{count} nodes","{count} uzlů"
"common.edge_count_one","{count} edge","{count} hrana"
"common.edge_count_other","{count} edges","{count} hran"
"common.adoption_count_one","{count} adoption","{count} adopce"
"common.adoption_count_other","{count} adoptions","{count} adopcí"
"common.selected","selected","vybráno"
"common.all","All","Vše"
"common.none","None","Žádné"
"common.go_back","Go back","Zpět"
"common.dismiss_notification","Dismiss notification","Zavřít oznámení"
"common.connecting","Connecting...","Připojování..."
"common.connected","Connected","Připojeno"
"common.disconnected","Disconnected","Odpojeno"
"common.reconnecting","Reconnecting","Opětovné připojování"
"common.reconnect_attempt","Reconnection attempt {attempt} -- retrying in {seconds}s","Pokus o opětovné připojení č. {attempt} – nový pokus za {seconds}s"
"common.error_boundary_title_named","Something unexpected happened in {name}","V {name} došlo k neočekávané chybě"
"common.error_boundary_title","Something unexpected happened","Došlo k neočekávané chybě"
"common.error_boundary_subtitle","Don't worry -- your data is safe. You can try again or head back to the dashboard.","Nebojte se – vaše data jsou v bezpečí. Můžete to zkusit znovu nebo se vrátit na nástěnku."
"common.try_again","Try Again","Zkusit znovu"
"common.go_to_dashboard","Go to Dashboard","Přejít na nástěnku"
"common.copy_report","Copy report for support","Kopírovat hlášení pro podporu"
"common.copied_to_clipboard","Copied to clipboard","Zkopírováno do schránky"
"common.for_developers","For developers","Pro vývojáře"
"common.no_stack_trace","No stack trace available","Výpis zásobníku není k dispozici"
"common.resolve","Resolve","Vyřešit"
"common.toast_overflow","+{count} more","+{count} dalších"
"common.unsaved_title","Save changes before leaving?","Uložit změny před odchodem?"
"common.unsaved_body_sections","You have unsaved changes in {sections}. These will be lost if you leave without saving.","Máte neuložené změny v: {sections}. Tyto budou ztraceny, pokud odejdete bez uložení."
"common.unsaved_body","You have unsaved changes that will be lost if you leave without saving.","Máte neuložené změny, které budou ztraceny, pokud odejdete bez uložení."
"common.save_and_continue","Save and continue","Uložit a pokračovat"
"common.discard_changes","Discard changes","Zahodit změny"
"common.stay_on_page","Stay on page","Zůstat na stránce"
"common.type_to_confirm","Type {name} to confirm","Pro potvrzení napište {name}"
"common.quick_edit","Quick Edit","Rychlá úprava"
"common.description_label","Description","Popis"
"common.model_label","Model","Model"
"common.agent_description_placeholder","Agent description...","Popis agenta..."
"common.simple_mode","Simple mode","Jednoduchý režim"
"common.advanced_json","Advanced (JSON)","Pokročilé (JSON)"
"common.label_placeholder","Label","Štítek"
"common.value_placeholder","Value","Hodnota"
"common.duplicate_key","Duplicate key","Duplicitní klíč"
"common.add_field","Add field","Přidat pole"
"common.select_directory","Select a directory...","Vyberte složku..."
"common.select_output_directory","Select output directory","Vyberte výstupní složku"
"common.browse","Browse","Procházet"
"common.select_persona","Select persona","Vybrat personu"
"common.all_personas","All Personas","Všechny persony"
"common.search_ellipsis","Search...","Hledat..."
"common.no_personas_matching","No personas matching ""{query}""","Žádné persony neodpovídají ""{query}"""
"common.drop_file_here","Drop file here","Přetáhněte soubor sem"
"common.attach","Attach","Přiložit"
"common.references","References","Reference"
"common.files_attached_one","{count} file attached","{count} soubor přiložen"
"common.files_attached_other","{count} files attached","{count} souborů přiloženo"
"common.press_enter_to_submit","Press Enter to submit, Shift+Enter for new line.","Stiskněte Enter pro odeslání, Shift+Enter pro nový řádek."
"common.staleness_just_now","just now","právě teď"
"common.staleness_minutes_ago","{minutes}m ago","před {minutes}m"
"common.staleness_hours_ago","{hours}h ago","před {hours}h"
"common.staleness_days_ago","{days}d ago","před {days}d"
"common.staleness_tooltip_labeled","{label} data last updated {age}","Data {label} naposledy aktualizována před {age}"
"common.staleness_tooltip","Data last updated {age}","Data naposledy aktualizována před {age}"
"common.staleness_refresh_failed","(refresh failed)","(aktualizace selhala)"
"common.command_palette_placeholder","Search agents, credentials, templates... (type "">"" for commands)","Hledat agenty, údaje, šablony... (pro příkazy napište "">"")"
"common.command_palette_navigate","navigate","navigovat"
"common.command_palette_select","select","vybrat"
"common.command_palette_commands","commands","příkazy"
"common.loading_label","Loading","Načítání"
"chrome.app_title","Personas","Personas"
"chrome.skip_to_content","Skip to content","Přejít k obsahu"
"chrome.minimize","Minimize","Minimalizovat"
"chrome.restore","Restore","Obnovit"
"chrome.maximize","Maximize","Maximalizovat"
"chrome.close_window","Close","Zavřít"
"chrome.update_available","Update available: v{version}","Dostupná aktualizace: v{version}"
"chrome.install_and_restart","Install & Restart","Instalovat a restartovat"
"chrome.installing","Installing...","Instalace..."
"chrome.expand_sidebar","Expand sidebar","Rozbalit boční panel"
"chrome.collapse_sidebar","Collapse sidebar","Sbalit boční panel"
"chrome.network_settings","Network settings","Nastavení sítě"
"chrome.dark","Dark","Tmavý"
"chrome.light","Light","Světlý"
"chrome.sign_in_google","Sign in with Google","Přihlásit se přes Google"
"chrome.signed_in","Signed in","Přihlášen"
"chrome.sign_out","Sign out","Odhlásit se"
"chrome.offline","Offline","Offline"
"sidebar.home","Home","Domů"
"sidebar.overview","Overview","Přehled"
"sidebar.agents","Agents","Agenti"
"sidebar.events","Events","Události"
"sidebar.keys","Connections","Klíče"
"sidebar.templates","Templates","Šablony"
"sidebar.teams","Teams","Týmy"
"sidebar.cloud","Cloud","Cloud"
"sidebar.settings","Settings","Nastavení"
"sidebar.welcome","Welcome","Vítejte"
"sidebar.system_check","System Check","Kontrola systému"
"sidebar.dashboard","Dashboard","Dashboard"
"sidebar.executions","Activity","Spuštění"
"sidebar.manual_review","Approvals","Ruční kontrola"
"sidebar.messages","Messages","Zprávy"
"sidebar.knowledge","Knowledge","Znalosti"
"sidebar.sla","Reliability","SLA"
"sidebar.cron_agents","Scheduled Agents","Cron agenti"
"sidebar.schedules","Schedules","Plány"
"sidebar.health","Health","Zdraví"
"sidebar.live_stream","Live Stream","Živý přenos"
"sidebar.throttling","Speed Limits","Rychlostní limity"
"sidebar.test","Test","Test"
"sidebar.local_relay","Local Relay","Lokální relé"
"sidebar.cloud_events","Cloud Events","Cloudové události"
"sidebar.roadmap","Roadmap","Plán vývoje"
"sidebar.credentials","Credentials","Přihlašovací údaje"
"sidebar.databases","Databases","Databáze"
"sidebar.catalog","Catalog","Katalog"
"sidebar.graph","Dependencies","Závislosti"
"sidebar.add_new","Add new","Přidat nové"
"sidebar.plugins","Plugins","Pluginy"
"sidebar.n8n_import","n8n Import","n8n Import"
"sidebar.generated","Generated","Vygenerované"
"sidebar.all_deployments","All Deployments","Všechna nasazení"
"sidebar.cloud_execution","Cloud Runs","Cloud spuštění"
"sidebar.gitlab","GitLab","GitLab"
"sidebar.account","Account","Účet"
"sidebar.appearance","Appearance","Vzhled"
"sidebar.notifications","Notifications","Oznámení"
"sidebar.engine","Engine","Engine"
"sidebar.byom","Custom Models","BYOM"
"sidebar.data","Data","Data"
"sidebar.admin","Admin","Admin"
"sidebar.create","Create","Vytvořit"
"sidebar.all_agents","All Agents","Všichni agenti"
"sidebar.favorites","Favorites","Oblíbené"
"sidebar.recent","Recent","Nedávné"
"sidebar.browse","Browse","Procházet"
"sidebar.dev_tools","Dev Tools","Vývojářské nástroje"
"sidebar.active_project","Active Project","Aktivní projekt"
"sidebar.projects","Projects","Projekty"
"sidebar.context_map","Context Map","Kontextová mapa"
"sidebar.idea_scanner","Idea Scanner","Scanner nápadů"
"sidebar.idea_triage","Idea Triage","Třídění nápadů"
"sidebar.task_runner","Task Runner","Spouštěč úloh"
"sidebar.skills","Skills","Dovednosti"
"sidebar.network","Network","Síť"
"sidebar.coming_soon","Coming soon","Již brzy"
"sidebar.sign_in_to_unlock","Sign in to unlock cloud features","Přihlaste se pro cloud funkce"
"sidebar.soon_badge","soon","brzy"
"sidebar.pending_reviews_sr","{count} pending review","{count} čekající kontrola"
"sidebar.pending_reviews_sr_other","{count} pending reviews","{count} čekajících kontrol"
"sidebar.unread_messages_sr","{count} unread message","{count} nepřečtená zpráva"
"sidebar.unread_messages_sr_other","{count} unread messages","{count} nepřečtených zpráv"
"sidebar.pending_events_sr","{count} pending event","{count} čekající událost"
"sidebar.pending_events_sr_other","{count} pending events","{count} čekajících událostí"
"home.welcome","Welcome","Vítejte"
"home.greeting_morning","Good Morning","Dobré ráno"
"home.greeting_afternoon","Good Afternoon","Dobré odpoledne"
"home.greeting_evening","Good Evening","Dobrý večer"
"home.operator","User","Operátor"
"home.summary_empty","Get started by creating your first agent or exploring the platform.","Začněte vytvořením prvního agenta nebo prozkoumáním platformy."
"home.summary_stats","You have {personasCount} agent{personasPlural} and {credentialsCount} credential{credentialsPlural} configured.","Máte {personasCount} agent{personasPlural} a {credentialsCount} přihlašovací{credentialsPlural} údaj{credentialsPlural} nakonfigurováno."
"home.quick_navigation","Quick Navigation","Rychlá navigace"
"home.platform_label","personas platform","platforma personas"
"home.roadmap.title","Product Roadmap","Plán vývoje produktu"
"home.roadmap.subtitle","What we're building now and what comes next.","Na čem pracujeme nyní a co přijde příště."
"home.roadmap.unavailable","Roadmap unavailable","Plán vývoje není k dispozici"
"home.roadmap.unavailable_hint","Could not load the product roadmap. Check your connection and try again.","Nepodařilo se načíst plán vývoje. Zkontrolujte připojení a zkuste to znovu."
"home.roadmap.status_in_progress","In Progress","V řešení"
"home.roadmap.status_next","Next","Další na řadě"
"home.roadmap.status_planned","Planned","Plánováno"
"home.roadmap.status_completed","Completed","Dokončeno"
"home.roadmap.priority_now","Now","Nyní"
"home.roadmap.priority_next","Next","Příště"
"home.roadmap.priority_later","Later","Později"
"home.roadmap.in_progress_count","{count} In Progress","{count} v řešení"
"home.roadmap.next_count","{count} Next","{count} další"
"home.setup.choose_role","Choose your role","Vyberte svou roli"
"home.setup.choose_role_hint","We'll tailor the experience to match how you work.","Přizpůsobíme prostředí tomu, jak pracujete."
"home.setup.pick_tool","Pick your favorite tool","Vyberte svůj oblíbený nástroj"
"home.setup.pick_tool_hint","This will be your first service connection.","Toto bude vaše první připojení ke službě."
"home.setup.describe_goal","What do you want to automate?","Co chcete automatizovat?"
"home.setup.describe_goal_hint","Describe your first automation goal — we'll help you set it up.","Popište svůj první cíl automatizace – pomůžeme vám jej nastavit."
"home.setup.goal_placeholder","e.g. Automatically sync new Jira tickets to a Slack channel...","např. Automaticky synchronizovat nové Jira tikety do Slack kanálu..."
"home.setup.ready_to_save","Ready to save","Připraveno k uložení"
"home.setup.step_role","Your Role","Vaše role"
"home.setup.step_role_hint","Tell us your role so we can tailor the experience.","Řekněte nám svou roli, abychom vám mohli přizpůsobit prostředí."
"home.setup.step_tool","Favorite Tool","Oblíbený nástroj"
"home.setup.step_tool_hint","Pick the first service you want to connect.","Vyberte první službu, kterou chcete připojit."
"home.setup.step_goal","Automation Goal","Cíl automatizace"
"home.setup.step_goal_hint","Describe what you would like to automate first.","Popište, co byste chtěli automatizovat jako první."
"home.setup.select_role_first","Select a role first to unlock tool options.","Nejprve vyberte roli, abyste odemkli možnosti nástrojů."
"home.setup.select_tool_first","Select a tool first to set your goal.","Nejprve vyberte nástroj, abyste mohli nastavit svůj cíl."
"home.setup.get_started","Get Started","Začínáme"
"home.setup.role_office_rat","Office Rat","Kancelářská krysa"
"home.setup.role_office_rat_hint","Non-technical user","Netechnický uživatel"
"home.setup.role_developer","Developer","Vývojář"
"home.setup.role_developer_hint","Technical user","Technický uživatel"
"home.setup.role_manager","Manager","Manažer"
"home.setup.role_manager_hint","Planning & coordination","Plánování a koordinace"
"home.setup.role","Role","Role"
"home.setup.tool","Tool","Nástroj"
"home.setup.goal","Goal","Cíl"
"home.nav.overview.label","Overview","Přehled"
"home.nav.overview.description","See how your agents are performing, what they've done recently, and monitor everything in one place","Analytika dashboardu, historie spuštění a monitorování systému v reálném čase napříč agenty"
"home.nav.personas.label","Agents","Agenti"
"home.nav.personas.description","Create, set up, and manage your AI agents -- give them custom behaviors and connect them to your tools","Vytvářejte, konfigurujte a spravujte AI agenty s vlastním chováním a schopnostmi"
"home.nav.events.label","Events","Události"
"home.nav.events.description","Set up what triggers your agents to run -- schedules, incoming notifications, or changes you define","Nastavte spouštěče událostí, webhook listenery a časované automatizace"
"home.nav.credentials.label","Connections","Klíče"
"home.nav.credentials.description","Manage your service logins, database connections, and passwords that let agents access your tools","Spravujte API přihlašovací údaje, databázová připojení, OAuth tokeny a šifrované tajné klíče"
"home.nav.design-reviews.label","Templates","Šablony"
"home.nav.design-reviews.description","Browse ready-made agent blueprints, import workflows, and generate new agent designs","Importujte n8n workflow, procházejte galerii šablon a generujte blueprinty agentů"
"home.nav.team.label","Teams","Týmy"
"home.nav.team.description","Combine multiple agents into a team that works together on multi-step workflows","Sestavujte multi-agentní týmové pipeline s drag-and-drop orchestrací a směrováním"
"home.nav.cloud.label","Cloud","Cloud"
"home.nav.cloud.description","Run your agents in the cloud so they work even when your computer is off","Nasaďte agenty do cloudové infrastruktury, spravujte plány a integrujte GitLab CI"
"home.nav.settings.label","Settings","Nastavení"
"home.nav.settings.description","Your account, how the app looks, notification preferences, and advanced options","Předvolby účtu, motivy vzhledu, pravidla oznámení a konfigurace engine"
"home.nav.plugins.label","Plugins","Pluginy"
"home.nav.plugins.description","Extend your agents with third-party plugins and custom extensions","Rozšiřte své agenty o pluginy třetích stran a vlastní rozšíření"
"home.learning.title","Learning Center","Centrum výuky"
"home.learning.subtitle","Guided tours and quick tricks to master Personas","Komentované prohlídky a rychlé tipy, jak ovládnout Personas"
"home.learning.guided_tours","Guided Tours","Průvodci"
"home.learning.tours_completed","{completed}/{total} completed","{completed}/{total} dokončeno"
"home.learning.done","Done","Hotovo"
"home.learning.restart","Restart","Restartovat"
"home.learning.start_tour","Start Tour","Spustit prohlídku"
"home.learning.steps_count","{count} steps","{count} kroků"
"home.learning.tricks_tips","Tricks & Tips","Tipy a triky"
"home.learning.guides_count","{count} guides","{count} návodů"
"home.learning.how_to_use","How to use","Jak používat"
"home.learning.pro_tip","Pro tip: ","Tip odborníka: "
"home.learning.cat_agent_craft","Agent Craft","Tvorba agentů"
"home.learning.cat_observability","Observability & Events","Pozorovatelnost a události"
"home.learning.cat_platform","Platform & Setup","Platforma a nastavení"
"home.setup_stepper.your_profile","Your profile","Váš profil"
"home.setup_stepper.choose_role","Choose your role","Vyberte svou roli"
"home.setup_stepper.tailor_hint","We'll tailor the experience to match how you work.","Přizpůsobíme prostředí tomu, jak pracujete."
"home.setup_stepper.simple_hint","We've set up the app for everyday office use.","Aplikaci jsme nastavili pro běžné kancelářské použití."
"home.setup_stepper.pick_tool","Pick your favorite tool","Vyberte svůj oblíbený nástroj"
"home.setup_stepper.tool_hint","This will be your first connector integration.","Toto bude vaše první integrace konektoru."
"home.setup_stepper.automate_title","What do you want to automate?","Co chcete automatizovat?"
"home.setup_stepper.automate_hint","Describe your first automation goal -- we'll help you set it up.","Popište svůj první cíl automatizace – pomůžeme vám jej nastavit."
"home.setup_stepper.automate_placeholder","e.g. Automatically sync new Jira tickets to a Slack channel...","např. Automaticky synchronizovat nové Jira tikety do Slack kanálu..."
"home.setup_stepper.min_chars","Min 10 characters ({current}/10)","Minimálně 10 znaků ({current}/10)"
"home.setup_stepper.ready_to_save","Ready to save","Připraveno k uložení"
"home.setup_stepper.back","Back","Zpět"
"home.setup_stepper.next","Next","Další"
"home.setup_stepper.finish","Finish","Dokončit"
"home.welcome_layout.get_started","Get Started","Začít"
"home.welcome_layout.language","Language","Jazyk"
"home.icon_showcase.lucide_tab","Lucide (Library)","Lucide (Knihovna)"
"home.icon_showcase.personas_tab","Personas (Animated)","Personas (Animované)"
"home.icon_showcase.lucide_footer","lucide-react -- generic icon library -- static","lucide-react – univerzální knihovna ikon – statická"
"home.icon_showcase.personas_footer","9 custom icons -- neural/circuit motifs -- CSS-animated -- theme-adaptive","9 vlastních ikon – neuronové motivy – CSS animované – adaptivní téma"
"agents.title","Personas","Personas"
"agents.loading","Loading...","Načítání..."
"agents.overview.title","My Agents","Přehled agentů"
"agents.overview.subtitle_one","{count} agent -- sorted by relevance","{count} agent -- seřazeno dle relevance"
"agents.overview.subtitle_other","{count} agents -- sorted by relevance","{count} agentů -- seřazeno dle relevance"
"agents.overview.needs_attention","Needs Attention","Vyžaduje pozornost"
"agents.overview.active","Active","Aktivní"
"agents.overview.idle","Idle","Nečinní"
"agents.sidebar.no_match","No agents match your filters","Žádní agenti neodpovídají filtrům"
"agents.sidebar.clear_filters","Clear all filters","Vymazat všechny filtry"
"agents.sidebar.empty","No personas yet","Zatím žádné persony"
"agents.preview.sensitive_hidden","Sensitive Preview Hidden","Citlivý náhled skryt"
"agents.preview.sensitive_detail","Details are masked for this persona.","Detaily této persony jsou maskovány."
"agents.preview.alt_key","Alt","Alt"
"agents.preview.no_description","No description yet.","Zatím bez popisu."
"agents.preview.last_execution","Last Execution","Poslední spuštění"
"agents.preview.no_executions","No executions yet","Zatím žádná spuštění"
"agents.preview.today","Today","Dnes"
"agents.preview.ok","OK","OK"
"agents.preview.fail","Fail","Chyba"
"agents.preview.triggers_active_one","{count} trigger active","{count} aktivní spouštěč"
"agents.preview.triggers_active_other","{count} triggers active","{count} aktivních spouštěčů"
"agents.preview.no_triggers","No triggers","Žádné spouštěče"
"agents.preview.custom_model","Custom","Vlastní"
"agents.creation.heading","New Agent","Nový agent"
"agents.creation.subtitle","Set a name and identity for your agent.","Nastavte název a identitu vašeho agenta."
"agents.creation.name_placeholder","Agent name","Název agenta"
"agents.creation.description_label","Description","Popis"
"agents.creation.description_optional","(optional)","(volitelné)"
"agents.creation.description_placeholder","Short description","Krátký popis"
"agents.creation.customize_appearance","Customize appearance","Přizpůsobit vzhled"
"agents.creation.customize_optional","(optional)","(volitelné)"
"agents.creation.icon_label","Icon","Ikona"
"agents.creation.color_label","Color","Barva"
"agents.creation.group_label","Group","Skupina"
"agents.creation.no_group","No group","Bez skupiny"
"agents.creation.create_button","Create Agent","Vytvořit agenta"
"agents.creation.creating_button","Creating...","Vytváření..."
"agents.creation.name_required","Enter a name to continue","Pro pokračování zadejte název"
"agents.editor.tabs.use_cases","Use Cases","Případy užití"
"agents.editor.tabs.prompt","Prompt","Prompt"
"agents.editor.tabs.lab","Lab","Lab"
"agents.editor.tabs.connectors","Connectors","Konektory"
"agents.editor.tabs.design","Design","Design"
"agents.editor.tabs.health","Health","Zdraví"
"agents.editor.tabs.settings","Settings","Nastavení"
"agents.editor.tabs.model","Model","Model"
"agents.editor.no_persona","No persona selected","Žádná persona nevybrána"
"agents.editor.save_failed","Failed to save {tabs}","Nepodařilo se uložit {tabs}"
"agents.editor.save_failed_generic","Failed to save changes","Nepodařilo se uložit změny"
"agents.editor.unsaved_changes","Unsaved changes: {sections}","Neuložené změny: {sections}"
"agents.editor.unsaved_changes_generic","Unsaved changes","Neuložené změny"
"agents.editor.save_and_switch","Save & Switch","Uložit a přepnout"
"agents.editor.discard","Discard","Zahodit"
"agents.editor.design_wizard_banner","Customize this template with the AI Design Wizard","Přizpůsobte tuto šablonu pomocí průvodce návrhem"
"agents.editor.try_design_wizard","Try Design Wizard","Vyzkoušet průvodce"
"agents.editor.cloud_banner_connect","Connect to the cloud to run your agents remotely","Připojte cloudový orchestrátor pro vzdálené spouštění person"
"agents.editor.cloud_banner_signin","Sign in to unlock cloud features and remote execution","Přihlaste se pro cloud funkce a vzdálené spouštění"
"agents.editor.sign_in","Sign In","Přihlásit se"
"agents.editor.set_up_cloud","Set up Cloud","Nastavit Cloud"
"agents.header.no_triggers_warning","No triggers set up -- this agent won't run automatically","Žádné spouštěče ani odběry událostí nakonfigurovány"
"agents.header.missing_credentials","Missing credentials: {credentials}","Chybějící přihlašovací údaje: {credentials}"
"agents.header.toggle_failed","Failed to toggle persona -- check your connection","Nepodařilo se přepnout personu -- zkontrolujte připojení"
"agents.header.cannot_enable","Cannot enable persona","Nelze zapnout personu"
"agents.sr_card","{name}, {status}","{name}, {status}"
"agents.filters.all","All","Vše"
"agents.filters.all_agents","All Agents","Všichni agenti"
"agents.filters.favorites","Favorites","Oblíbené"
"agents.filters.recent","Recent","Nedávné"
"agents.filters.status_all","All","Všechny stavy"
"agents.filters.status_active","Active","Aktivní"
"agents.filters.status_disabled","Disabled","Vypnuté"
"agents.filters.status_drafts","Drafts","Návrhy"
"agents.filters.health_all","All Health","Všechny stavy zdraví"
"agents.filters.health_healthy","Healthy","Zdravé"
"agents.filters.health_degraded","Degraded","Omezené"
"agents.filters.health_failing","Failing","Chybující"
"agents.filters.last_run","Last Run","Poslední spuštění"
"agents.filters.never","Never","Nikdy"
"agents.filters.selected","{count} selected","{count} vybráno"
"agents.filters.remove_from_favorites","Remove from favorites","Odebrat z oblíbených"
"agents.filters.add_to_favorites","Add to favorites","Přidat do oblíbených"
"agents.filters.filter_by","Filter by {label}","Filtrovat podle {label}"
"agents.status.draft","Draft","Návrh"
"agents.status.disabled","Disabled","Vypnuto"
"agents.status.healthy","Healthy","V pořádku"
"agents.status.degraded","Degraded","Omezeno"
"agents.status.failing","Failing","Chybné"
"agents.status.building","Building","Sestavování"
"agents.executions.no_persona_selected","No persona selected","Žádná persona nevybrána"
"agents.executions.loading_executions","Loading executions","Načítání spuštění"
"agents.executions.agent_ready","Your agent is ready to go","Váš agent je připraven k akci"
"agents.executions.agent_ready_subtitle","Run it to see results here. Each execution will appear in this timeline.","Spusťte jej a uvidíte výsledky. Každé spuštění se zobrazí na této časové ose."
"agents.executions.try_it_now","Try it now","Vyzkoušet hned"
"agents.executions.history","History","Historie"
"agents.executions.sensitive_visible","Sensitive values are visible","Citlivé hodnoty jsou viditelné"
"agents.executions.sensitive_masked","Sensitive values are masked","Citlivé hodnoty jsou maskovány"
"agents.executions.raw","Raw","Surové"
"agents.executions.masked","Masked","Maskováno"
"agents.executions.compare","Compare","Porovnat"
"agents.executions.select_first","Select the first execution to compare","Vyberte první spuštění k porovnání"
"agents.executions.select_second","Now select the second execution","Nyní vyberte druhé spuštění"
"agents.executions.ready_to_compare","Ready to compare","Připraveno k porovnání"
"agents.executions.vs","vs","vs"
"agents.executions.col_status","Status","Stav"
"agents.executions.col_duration","Duration","Doba trvání"
"agents.executions.col_started","Started","Zahájeno"
"agents.executions.col_tokens","Tokens","Tokeny"
"agents.executions.col_cost","Cost","Náklady"
"agents.executions.input_tokens","Input tokens","Vstupní tokeny"
"agents.executions.output_tokens","Output tokens","Výstupní tokeny"
"agents.executions.healing_retry","Healing retry #{count}","Pokus o samoopravu č. {count}"
"agents.executions.execution_id","Execution ID","ID spuštění"
"agents.executions.model","Model","Model"
"agents.executions.model_default","default","výchozí"
"agents.executions.cost","Cost","Náklady"
"agents.executions.completed","Completed","Dokončeno"
"agents.executions.input_data","Input Data","Vstupní data"
"agents.executions.output_data","Output Data","Výstupní data"
"agents.executions.error","Error","Chyba"
"agents.executions.rerun_with_same_input","Re-run with same input","Znovu spustit se stejným vstupem"
"agents.executions.compare_with_original","Compare with original","Porovnat s originálem"
"agents.executions.execution_log","Execution Log","Log spuštění"
"agents.executions.copy_log_tooltip","Copy log to clipboard","Kopírovat log do schránky"
"agents.executions.loading_log","Loading log...","Načítání logu..."
"agents.executions.log_empty","Log file is empty or was not found.","Log soubor je prázdný nebo nebyl nalezen."
"agents.executions.failed_to_load_log","Failed to load log","Nepodařilo se načíst log"
"agents.executions.loading_memories","Loading memories","Načítání vzpomínek"
"agents.executions.memories_created","Memories Created ({count})","Vytvořené vzpomínky ({count})"
"agents.executions.tab_detail","Detail","Detail"
"agents.executions.tab_inspector","Inspector","Inspektor"
"agents.executions.tab_trace","Trace","Trace"
"agents.executions.tab_pipeline","Pipeline","Pipeline"
"agents.executions.tab_replay","Replay","Přehrát"
"agents.executions.stopped_while_running","Stopped while running","Zastaveno během běhu"
"agents.executions.resume_from_here","Resume from here","Pokračovat odtud"
"agents.executions.error_label","Error","Chyba"
"agents.executions.healing_started","AI Healing started","AI oprava zahájena"
"agents.executions.healing_diagnosing","Diagnosing...","Diagnostika..."
"agents.executions.healing_applying_one","Applying {count} fix...","Aplikování {count} opravy..."
"agents.executions.healing_applying_other","Applying {count} fixes...","Aplikování {count} oprav..."
"agents.executions.healing_completed_fixes_one","{count} fix applied","{count} oprava aplikována"
"agents.executions.healing_completed_fixes_other","{count} fixes applied","{count} oprav aplikováno"
"agents.executions.healing_completed_retrying"," -- retrying"," -- nový pokus"
"agents.executions.healing_no_fixes","No fixes needed","Žádné opravy nejsou nutné"
"agents.executions.healing_failed","Healing failed","Oprava selhala"
"agents.executions.dismiss","dismiss","zavřít"
"agents.executions.retrying_in","Retrying in {seconds}s...","Nový pokus za {seconds}s..."
"agents.executions.retrying_now","Retrying now...","Zkouším znovu..."
